,시리얼번호,기온(℃),조도(lux),자외선(UVI),자치구,주소,위도,경도,idx,temp_rank,uv_rank,lux_rank,sum_val
76,V02Q1940332,25.583018867924523,4564.698113207547,0.15660377358490565,은평구,서울특별시 은평구 신사동 4-16,37.59765044,126.9120209,60,497.55300000000005,241.67999999999998,214.434,953.667
141,V02Q1940583,25.65825242718447,3559.26213592233,0.11165048543689317,마포구,서울특별시 마포구 상수동 347-8,37.54520551,126.9233909,124,524.552,226.32,201.476,952.3480000000001
195,V02Q1940609,25.771287128712878,3209.910891089109,0.09702970297029702,마포구,서울특별시 마포구 서교동 473-15,37.55627539,126.9122386,177,550.4490000000001,213.6,187.891,951.94
132,V02Q1940373,25.628431372549024,3716.3235294117653,0.11470588235294114,은평구,서울특별시 은평구 응암동 604-5,37.58993857,126.9172919,115,514.0830000000001,228.48,205.238,947.8010000000002
3,V02Q1940481,25.60727272727273,3145.818181818182,16.0,양천구,서울특별시 양천구 신정동 1099,37.52408281,126.8546531,4,504.71600000000007,255.35999999999999,184.756,944.832
56,V02Q1940624,25.7125,2690.090909090909,0.18409090909090906,마포구,서울특별시 마포구 망원동 408-5,37.55458164,126.9038541,41,538.327,246.23999999999998,158.631,943.198
247,V02Q1940442,25.83333333333334,3089.904761904762,0.0876190476190476,마포구,서울특별시 마포구 망원동 416-7,37.55753805,126.9029616,228,559.816,201.35999999999999,181.412,942.5880000000001
182,V02Q1940601,25.70280373831775,3218.77570093458,0.09906542056074764,성동구,서울특별시 성동구 사근동 182-17,37.56026457,127.0480146,165,537.7760000000001,216.48,188.1,942.3560000000001
84,V02Q1940126,25.55169491525424,4471.296610169492,0.14745762711864402,강서구,서울특별시 강서구 방화동 318-2,37.57836214,126.8159088,67,484.88000000000005,240.0,213.38899999999998,938.2690000000001
212,V02Q1940710,25.725581395348843,3190.011627906977,0.09302325581395353,종로구,서울특별시 종로구 숭인동 55-2 숭인1동 주민센터 옥상,37.57784312,127.0156288,193,541.082,209.76,187.05499999999998,937.8969999999999
151,V02Q1940496,25.63478260869564,3394.4086956521733,0.1052173913043478,성동구,서울특별시 성동구 성수동2가 255-2,37.53877565,127.0597607,134,517.389,223.92,195.624,936.933
236,V02Q1940652,25.774736842105266,3062.7684210526318,0.0894736842105263,관악구,서울특별시 관악구 신림동 1675-8,37.48370843,126.9025203,217,551.0,204.0,180.158,935.158
127,V02Q1940947,25.588495575221238,3694.8761061946893,0.115929203539823,동작구,서울특별시 동작구 상도동 518-7,37.4990258,126.9520123,110,499.206,229.67999999999998,204.611,933.497
147,V02Q1940848,25.604424778761068,3680.079646017699,0.1061946902654867,종로구,서울특별시 종로구 이화동 9-264,37.57769818,127.006748,130,503.61400000000003,224.88,204.19299999999998,932.687
62,V02Q1940395,25.512037037037047,5169.018518518518,0.17314814814814808,양천구,서울특별시 양천구 신월동 275,37.5389107,126.829309,47,467.79900000000004,244.79999999999998,217.987,930.586
46,V02Q1940217,25.63684210526317,2646.5438596491226,0.20614035087719298,영등포구,서울특별시 영등포구 여의대방로 300,37.51352713,126.9259171,32,519.042,248.39999999999998,156.541,923.983
265,V02Q1940944,25.780180180180192,2944.6306306306305,0.08468468468468465,중랑구,서울특별시 중랑구 묵동 249-24,37.60504164,127.07543259999998,246,551.551,197.04,173.679,922.27
289,V02Q1940626,25.816999999999997,2925.28,0.081,마포구,서울특별시 마포구 서교동 365-29,37.55065466,126.9211923,269,557.6120000000001,191.51999999999998,171.589,920.721
139,V02Q1940296,25.561864406779662,3671.762711864407,0.11186440677966099,동작구,서울특별시 동작구 대방동 341-1,37.51196987,126.9263022,122,488.737,226.79999999999998,203.775,919.312
42,V02Q1940850,25.44818181818182,5926.972727272727,0.21545454545454545,영등포구,서울특별시 영등포구 당산동3가 250,37.52497813,126.8974438,29,446.86100000000005,249.12,220.495,916.476
256,V02Q1940312,25.681730769230768,3179.4134615384614,0.08653846153846151,양천구,서울특별시 양천구 신정동 957-16,37.52282125,126.85843529999998,237,530.613,199.2,186.637,916.45
138,V02Q1940870,25.55596330275229,3594.6972477064223,0.11192660550458716,성동구,서울특별시 성동구 성수동1가 160-1,37.53810274,127.0468807,121,487.08400000000006,227.04,202.31199999999998,916.436
118,V02Q1940611,25.525252525252515,3874.787878787879,0.12020202020202014,마포구,서울특별시 마포구 합정동 198-48,37.54552807,126.9147568,101,476.064,231.84,207.53699999999998,915.441
233,V02Q1940520,25.682407407407414,3016.518518518519,0.0898148148148148,서대문구,서울특별시 서대문구 남가좌동 319-23,37.57822552,126.9232322,214,531.164,204.72,177.65,913.534
291,V02Q1940769,25.75656565656565,2972.979797979798,0.08080808080808079,양천구,서울특별시 양천구 신정동 874-4,37.52786532,126.8557268,271,547.143,191.04,175.351,913.534
230,V02Q1940723,25.63090909090909,3129.3,0.08999999999999997,마포구,서울특별시 마포구 서교동 359,37.55227897,126.9235272,211,515.1850000000001,205.44,183.293,903.918
126,V02Q1940301,25.523214285714282,3433.4375,0.11607142857142855,동작구,서울특별시 동작구 사당동 91-11,37.48911821,126.98057040000002,109,474.96200000000005,229.92,197.714,902.596
231,V02Q1940849,25.635779816513754,3026.9174311926604,0.08990825688073394,양천구,서울특별시 양천구 신월동 92-17,37.53555966,126.8328365,212,517.94,205.2,178.486,901.6260000000001
238,V02Q1940770,25.614,3257.69,0.08899999999999998,강동구,서울특별시 강동구 암사동 496-25,37.5498763,127.1294778,219,508.02200000000005,203.51999999999998,189.35399999999998,900.896
169,V02Q1940861,25.55169491525424,3411.779661016949,0.1025423728813559,양천구,서울특별시 양천구 신정동 842-1,37.50908951,126.8668465,152,484.32900000000006,219.6,196.042,899.9710000000001
189,V02Q1940753,25.5765306122449,3292.244897959184,0.0979591836734694,성동구,서울특별시 성동구 금호동1가 1500-3,37.54936466,127.0266557,171,494.247,215.04,190.608,899.895
142,V02Q1940156,25.500892857142862,3611.946428571429,0.11160714285714282,성동구,서울특별시 성동구 마장동 780,37.56667486,127.0455215,125,467.24800000000005,226.07999999999998,202.73,896.058
305,V02Q1940630,25.681249999999995,2969.03125,0.07708333333333332,용산구,서울특별시 용산구 한강로3가 65-206,37.52554041,126.9650708,285,530.062,187.68,175.142,892.884
352,V02Q1940612,25.79090909090911,2752.212121212121,0.0707070707070707,마포구,서울특별시 마포구 상암동 6-4,37.57807617,126.8951928,331,553.2040000000001,176.64,162.602,892.446
115,V02Q1940842,25.456779661016952,3798.347457627119,0.12118644067796608,성동구,서울특별시 성동구 응봉동 15,37.55214248,127.0355848,98,452.37100000000004,232.56,206.492,891.423
119,V02Q1940863,25.44830508474577,3866.5084745762706,0.11949152542372883,양천구,서울특별시 양천구 신정동 294-18,37.51887605,126.8710894,102,447.41200000000003,231.6,207.328,886.34
111,V02Q1940179,25.42972972972973,4047.45945945946,0.12702702702702698,강서구,서울특별시 강서구 화곡동 46-156,37.54386703,126.8476199,94,441.35100000000006,233.51999999999998,209.41799999999998,884.2890000000001
125,V02Q1940818,26.16725663716815,1355.0353982300885,0.11681415929203533,종로구,서울특별시 종로구 창신동 401-3,37.57074131,127.0163741,108,582.407,230.16,71.687,884.254
402,V02Q1940610,25.884158415841583,2536.069306930693,0.062376237623762376,마포구,서울특별시 마포구 망원동 453-1,37.55614009,126.8965844,381,567.5300000000001,164.64,150.271,882.441
282,V02Q1940367,25.614150943396236,3073.5188679245284,0.08207547169811319,성동구,서울특별시 성동구 금호동2가 223-1,37.55439478,127.0200998,262,508.57300000000004,193.2,180.367,882.14
196,V02Q1940531,25.538775510204086,3183.1020408163267,0.09693877551020406,마포구,서울특별시 마포구 노고산동 31-123,37.55488942,126.9362371,178,480.47200000000004,213.35999999999999,186.846,880.678
144,V02Q1940735,25.462000000000003,3452.97,0.11,성동구,서울특별시 성동구 마장동 479-33,37.56840651,127.0336607,127,454.57500000000005,225.6,198.34099999999998,878.5160000000001
202,V02Q1940667,25.521999999999984,3309.24,0.096,관악구,서울특별시 관악구 봉천동 728-1,37.49265835,126.9269739,184,473.86,211.92,191.23499999999999,877.015
341,V02Q1940182,25.71818181818181,2692.5181818181823,0.0727272727272727,강서구,서울특별시 강서구 화곡동 851-20,37.53237894,126.8553371,321,538.878,179.04,158.84,876.758
385,V02Q1940170,25.88965517241379,2381.3879310344832,0.0646551724137931,영등포구,서울특별시 영등포구 당산동1가 32,37.52173841,126.8966833,364,568.081,168.72,139.403,876.2040000000001
