"STDR_YM_CD(기준_년월_코드)","RD_LINK_ID(도로링크_ID)","SIGNGU_CD(시군구코드)","ADSTRD_CD(행정동코드)","DAYWEEK_CD(요일코드)","AGRDE_CD(연령대코드)","TMZON_CD(시간대코드)","FLPOP_CO(유동인구_수)"
"201612","6851","11320","11320511","1","50","00",73.9665
"201612","6851","11320","11320511","1","50","01",0.0601
"201612","6851","11320","11320511","1","50","02",11.416
"201612","6851","11320","11320511","1","50","03",15.9851
"201612","6851","11320","11320511","1","50","04",17.96475
"201612","6851","11320","11320511","1","50","05",21.8079
"201612","6851","11320","11320511","1","50","06",6.73265
"201612","6851","11320","11320511","1","60","00",39.5195
"201612","6851","11320","11320511","1","60","01",0
"201612","6851","11320","11320511","1","60","02",6.3756
"201612","6851","11320","11320511","1","60","03",10.4648
"201612","6851","11320","11320511","1","60","04",11.38325
"201612","6851","11320","11320511","1","60","05",10.32405
"201612","6851","11320","11320511","1","60","06",0.9718
"201612","6851","11320","11320511","2","00","00",242.54325
"201612","6851","11320","11320511","2","00","01",1.878
"201612","6851","11320","11320511","2","00","02",23.561375
"201612","6851","11320","11320511","2","00","03",55.827
"201612","6851","11320","11320511","2","00","04",60.91525
"201612","6851","11320","11320511","2","00","05",74.847125
"201612","6851","11320","11320511","2","00","06",25.5145
"201612","6851","11320","11320511","2","10","00",17.520375
"201612","6851","11320","11320511","2","10","01",0.09975
"201612","6851","11320","11320511","2","10","02",0.256
"201612","6851","11320","11320511","2","10","03",3.699875
"201612","6851","11320","11320511","2","10","04",5.110125
"201612","6851","11320","11320511","2","10","05",6.31275
"201612","6851","11320","11320511","2","10","06",2.041875
"201612","6851","11320","11320511","2","20","00",36.1025
"201612","6851","11320","11320511","2","20","01",1.19525
"201612","6851","11320","11320511","2","20","02",1.054
"201612","6851","11320","11320511","2","20","03",6.552
"201612","6851","11320","11320511","2","20","04",8.00225
"201612","6851","11320","11320511","2","20","05",11.58025
"201612","6851","11320","11320511","2","20","06",7.71875
"201612","6851","11320","11320511","2","30","00",44.237375
"201612","6851","11320","11320511","2","30","01",0.255875
"201612","6851","11320","11320511","2","30","02",3.95325
"201612","6851","11320","11320511","2","30","03",10.8725
"201612","6851","11320","11320511","2","30","04",11.256375
"201612","6851","11320","11320511","2","30","05",13.622625
"201612","6851","11320","11320511","2","30","06",4.27675
"201612","6851","11320","11320511","2","40","00",55.144625
"201612","6851","11320","11320511","2","40","01",0.199
"201612","6851","11320","11320511","2","40","02",6.120375
"201612","6851","11320","11320511","2","40","03",12.979125
